player,date,game_num,score
jose,2022-04-25 06:30:22,310,5
jose,2022-04-23 18:07:15,308,4
jose,2022-04-22 10:22:14,307,4
jose,2022-04-21 09:53:11,306,6
jose,2022-04-20 12:23:32,305,X
jose,2022-04-19 00:05:32,304,3
jose,2022-04-18 09:35:29,303,4
jose,2022-04-17 12:15:29,302,5
jose,2022-04-16 09:37:58,301,5
jose,2022-04-15 07:13:33,300,4
jose,2022-04-14 00:22:05,299,3
jose,2022-04-13 07:58:06,298,4
jose,2022-04-12 09:16:52,297,3
jose,2022-04-11 08:25:49,296,4
jose,2022-04-10 14:53:42,295,3
jose,2022-04-09 11:13:26,294,3
jose,2022-04-08 07:25:17,293,4
jose,2022-04-07 08:39:12,292,3
jose,2022-04-06 12:39:56,291,4
jose,2022-04-05 09:16:32,290,5
jose,2022-04-04 09:51:22,289,4
jose,2022-04-03 10:37:57,288,3
jose,2022-04-01 09:26:18,286,5
jose,2022-03-31 16:36:13,285,4
jose,2022-03-30 10:23:20,284,5
jose,2022-03-29 11:04:05,283,4
jose,2022-03-28 17:33:22,282,6
jose,2022-03-27 17:34:27,281,4
jose,2022-03-25 08:19:54,279,3
jose,2022-03-24 13:40:52,278,3
jose,2022-03-23 09:05:45,277,2
jose,2022-03-21 09:05:06,275,5
jose,2022-03-15 08:26:46,269,5
jose,2022-03-13 17:13:53,267,4
jose,2022-03-11 07:56:24,265,4
jose,2022-03-09 08:59:57,263,3
jose,2022-03-07 07:44:40,261,6
jose,2022-03-06 04:56:52,260,3
jose,2022-03-05 03:29:51,259,4
jose,2022-03-04 09:20:59,258,5
jose,2022-03-03 10:09:54,257,3
jose,2022-03-02 14:48:22,256,2
jose,2022-02-24 00:16:52,250,6
jose,2022-02-23 09:07:46,249,2
jose,2022-02-22 08:57:27,248,4
jose,2022-02-21 08:54:46,247,4
jose,2022-02-18 04:42:30,244,5
jose,2022-02-17 10:24:04,243,6
jose,2022-02-11 08:30:17,237,5
jose,2022-02-10 23:28:52,236,3
